"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2011","France","Flight","Commercial passenger air flights","Total","Total transport","1,242,775",""
"2011","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,047,525",""
"2011","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","58,162",""
"2011","Latvia","Flight","Commercial passenger air flights","Total","Total transport","69,826",""
"2011","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","33,509",""
"2011","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","39,326",""
"2011","Hungary","Flight","Commercial passenger air flights","Total","Total transport","98,140",""
"2011","Malta","Flight","Commercial passenger air flights","Total","Total transport","28,152",""
"2011","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","452,532",""
"2011","Austria","Flight","Commercial passenger air flights","Total","Total transport","286,365",""
"2011","Poland","Flight","Commercial passenger air flights","Total","Total transport","236,948",""
"2011","Portugal","Flight","Commercial passenger air flights","Total","Total transport","246,796",""
"2011","Romania","Flight","Commercial passenger air flights","Total","Total transport","119,993",""
"2011","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","25,438",""
"2011","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","19,838",""
"2011","Finland","Flight","Commercial passenger air flights","Total","Total transport","207,811",""
"2011","Sweden","Flight","Commercial passenger air flights","Total","Total transport","335,503",""
"2011","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,710,247",""
"2011","Iceland","Flight","Commercial passenger air flights","Total","Total transport","18,297",""
"2011","Norway","Flight","Commercial passenger air flights","Total","Total transport","408,862",""
"2011","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","420,517",""
"2012","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,548,191",""
"2012","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,527,477",""
"2012","Belgium","Flight","Commercial passenger air flights","Total","Total transport","272,969",""
"2012","Czechia","Flight","Commercial passenger air flights","Total","Total transport","133,569",""
"2012","Denmark","Flight","Commercial passenger air flights","Total","Total transport","285,626",""
"2012","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,712,690",""
"2012","Estonia","Flight","Commercial passenger air flights","Total","Total transport","39,048",""
"2012","Ireland","Flight","Commercial passenger air flights","Total","Total transport","194,697",""
"2012","Greece","Flight","Commercial passenger air flights","Total","Total transport","287,573",""
"2012","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,238,512",""
"2012","France","Flight","Commercial passenger air flights","Total","Total transport","1,223,060",""
"2012","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,023,162",""
"2012","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","56,112",""
"2012","Latvia","Flight","Commercial passenger air flights","Total","Total transport","64,123",""
"2012","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","35,209",""
"2012","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","40,379",""
"2012","Hungary","Flight","Commercial passenger air flights","Total","Total transport","75,716",""
"2012","Malta","Flight","Commercial passenger air flights","Total","Total transport","28,424",""
"2012","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","458,121",""
"2012","Austria","Flight","Commercial passenger air flights","Total","Total transport","278,365",""
"2012","Poland","Flight","Commercial passenger air flights","Total","Total transport","244,901",""
"2012","Portugal","Flight","Commercial passenger air flights","Total","Total transport","245,200",""
"2012","Romania","Flight","Commercial passenger air flights","Total","Total transport","111,251",""
"2012","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","22,198",""
"2012","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","16,030",""
"2012","Finland","Flight","Commercial passenger air flights","Total","Total transport","187,234",""
"2012","Sweden","Flight","Commercial passenger air flights","Total","Total transport","325,641",""
"2012","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,691,734",""
"2012","Iceland","Flight","Commercial passenger air flights","Total","Total transport","19,897",""
"2012","Norway","Flight","Commercial passenger air flights","Total","Total transport","425,941",""
"2012","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","427,044",""
"2013","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,388,505",""
"2013","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,368,044",""
"2013","Belgium","Flight","Commercial passenger air flights","Total","Total transport","265,379",""
"2013","Czechia","Flight","Commercial passenger air flights","Total","Total transport","129,454",""
"2013","Denmark","Flight","Commercial passenger air flights","Total","Total transport","290,722",""
"2013","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,654,117",""
"2013","Estonia","Flight","Commercial passenger air flights","Total","Total transport","28,584",""
"2013","Ireland","Flight","Commercial passenger air flights","Total","Total transport","197,043",""
"2013","Greece","Flight","Commercial passenger air flights","Total","Total transport","285,640",""
"2013","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,187,856",""
"2013","France","Flight","Commercial passenger air flights","Total","Total transport","1,194,266",""
"2013","Italy","Flight","Commercial passenger air flights","Total","Total transport","971,101",""
"2013","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","49,895",""
"2013","Latvia","Flight","Commercial passenger air flights","Total","Total transport","62,215",""
"2013","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","35,081",""
"2013","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","40,919",""
"2013","Hungary","Flight","Commercial passenger air flights","Total","Total transport","71,756",""
"2013","Malta","Flight","Commercial passenger air flights","Total","Total transport","30,966",""
"2013","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","465,867",""
"2013","Austria","Flight","Commercial passenger air flights","Total","Total transport","265,660",""
"2013","Poland","Flight","Commercial passenger air flights","Total","Total transport","243,133",""
"2013","Portugal","Flight","Commercial passenger air flights","Total","Total transport","250,981",""
"2013","Romania","Flight","Commercial passenger air flights","Total","Total transport","105,575",""
"2013","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","21,083",""
"2013","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","15,278",""
"2013","Finland","Flight","Commercial passenger air flights","Total","Total transport","178,599",""
"2013","Sweden","Flight","Commercial passenger air flights","Total","Total transport","331,920",""
"2013","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,716,777",""
"2013","Iceland","Flight","Commercial passenger air flights","Total","Total transport","22,618",""
"2013","Norway","Flight","Commercial passenger air flights","Total","Total transport","440,386",""
"2013","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","419,334",""
"2014","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,430,766",""
"2014","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,408,960",""
"2014","Belgium","Flight","Commercial passenger air flights","Total","Total transport","274,603",""
"2014","Czechia","Flight","Commercial passenger air flights","Total","Total transport","126,393",""
"2014","Denmark","Flight","Commercial passenger air flights","Total","Total transport","291,721",""
"2014","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,591,574",""
"2014","Estonia","Flight","Commercial passenger air flights","Total","Total transport","28,934",""
"2014","Ireland","Flight","Commercial passenger air flights","Total","Total transport","209,700",""
"2014","Greece","Flight","Commercial passenger air flights","Total","Total transport","321,760",""
"2014","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,230,742",""
"2014","France","Flight","Commercial passenger air flights","Total","Total transport","1,182,622",""
"2014","Italy","Flight","Commercial passenger air flights","Total","Total transport","960,234",""
"2014","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","52,421",""
"2014","Latvia","Flight","Commercial passenger air flights","Total","Total transport","60,893",""
"2014","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","39,512",""
"2014","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","42,105",""
"2014","Hungary","Flight","Commercial passenger air flights","Total","Total transport","74,832",""
"2014","Malta","Flight","Commercial passenger air flights","Total","Total transport","32,572",""
"2014","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","478,872",""
"2014","Austria","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2014","Poland","Flight","Commercial passenger air flights","Total","Total transport","255,419",""
"2014","Portugal","Flight","Commercial passenger air flights","Total","Total transport","266,641",""
"2014","Romania","Flight","Commercial passenger air flights","Total","Total transport","108,833",""
"2014","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","20,473",""
"2014","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","15,976",""
"2014","Finland","Flight","Commercial passenger air flights","Total","Total transport","176,877",""
"2014","Sweden","Flight","Commercial passenger air flights","Total","Total transport","335,475",""
"2014","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,751,751",""
"2014","Iceland","Flight","Commercial passenger air flights","Total","Total transport","26,889",""
"2014","Norway","Flight","Commercial passenger air flights","Total","Total transport","443,546",""
"2014","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","425,860",""
"2015","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,579,885",""
"2015","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,556,753",""
"2015","Belgium","Flight","Commercial passenger air flights","Total","Total transport","286,652",""
"2015","Czechia","Flight","Commercial passenger air flights","Total","Total transport","127,497",""
"2015","Denmark","Flight","Commercial passenger air flights","Total","Total transport","296,194",""
"2015","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,606,292",""
"2015","Estonia","Flight","Commercial passenger air flights","Total","Total transport","32,030",""
"2015","Ireland","Flight","Commercial passenger air flights","Total","Total transport","221,013",""
"2015","Greece","Flight","Commercial passenger air flights","Total","Total transport","341,992",""
"2015","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,261,847",""
"2015","France","Flight","Commercial passenger air flights","Total","Total transport","1,194,974",""
"2015","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,004,384",""
"2015","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","53,636",""
"2015","Latvia","Flight","Commercial passenger air flights","Total","Total transport","63,028",""
"2015","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","41,766",""
"2015","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","42,584",""
"2015","Hungary","Flight","Commercial passenger air flights","Total","Total transport","80,184",""
"2015","Malta","Flight","Commercial passenger air flights","Total","Total transport","34,377",""
"2015","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","493,640",""
"2015","Austria","Flight","Commercial passenger air flights","Total","Total transport","263,773",""
"2015","Poland","Flight","Commercial passenger air flights","Total","Total transport","277,547",""
"2015","Portugal","Flight","Commercial passenger air flights","Total","Total transport","285,102",""
"2015","Romania","Flight","Commercial passenger air flights","Total","Total transport","116,988",""
"2015","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","21,455",""
"2015","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","17,663",""
"2015","Finland","Flight","Commercial passenger air flights","Total","Total transport","174,631",""
"2015","Sweden","Flight","Commercial passenger air flights","Total","Total transport","336,967",""
"2015","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,789,718",""
"2015","Iceland","Flight","Commercial passenger air flights","Total","Total transport","32,168",""
"2015","Norway","Flight","Commercial passenger air flights","Total","Total transport","442,670",""
"2015","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","431,712",""
"2016","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,857,968",""
"2016","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,832,538",""
"2016","Belgium","Flight","Commercial passenger air flights","Total","Total transport","275,513",""
"2016","Czechia","Flight","Commercial passenger air flights","Total","Total transport","134,240",""
"2016","Denmark","Flight","Commercial passenger air flights","Total","Total transport","308,483",""
"2016","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,645,784",""
"2016","Estonia","Flight","Commercial passenger air flights","Total","Total transport","32,165",""
